energy,sigma_m2,results,lambda,error1,error2,rate,T_e
11.78,8.517157320889612e-34,0.2506601661466001,0.0330065,0.0295557,0.0364322,9.158243948734432,11.78
11.8,8.533994990831152e-34,0.2506609962826741,0.032563,0.0291198,0.0359838,9.05307868976858,11.8
11.82,8.550830130831797e-34,0.2506495018518541,0.0321199,0.0286832,0.0355361,8.947095031136287,11.82
11.84,8.567662749192436e-34,0.2506517597088756,0.0316751,0.0282525,0.0350884,8.840643063229834,11.84
11.86,8.584492854192675e-34,0.2506549831775871,0.0312401,0.027827,0.0346412,8.73647307706209,11.86
11.88,8.601320454090715e-34,0.2506437041967359,0.0308063,0.0274026,0.034201,8.631657706357133,11.88
11.9,8.61814555712271e-34,0.2506431497825616,0.0303734,0.0269791,0.0337618,8.526991204988175,11.9
11.92,8.634968171503361e-34,0.2506486428085622,0.0299409,0.0265539,0.0333232,8.422163927520842,11.92
11.94,8.651788911642153e-34,0.2506387467068016,0.0295079,0.0261381,0.0328846,8.316204667644813,11.94
11.96,8.668606582284326e-34,0.2506345257673116,0.0290842,0.0257255,0.0324479,8.212588319169644,11.96
11.98,8.685421788805696e-34,0.2506414811316953,0.0286617,0.0253142,0.0320175,8.109210034123993,11.98
12.0,8.70223453933221e-34,0.2506347117578388,0.0282403,0.0249035,0.0315881,8.005234338439413,12.0
12.02,8.719044841967758e-34,0.2506264640536569,0.0278191,0.0244908,0.0311595,7.900810670528581,12.02
12.04,8.735852704793634e-34,0.250633008113546,0.0273988,0.0240904,0.0307305,7.796646657611994,12.04
12.06,8.752658135868636e-34,0.2506310224449675,0.0269871,0.0236916,0.0303052,7.694204962238285,12.06
12.08,8.769461143228988e-34,0.2506199405354399,0.0265767,0.023294,0.0298851,7.591407870071155,12.08
12.1,8.786261734888173e-34,0.2506235029857133,0.0261673,0.0228969,0.0294662,7.488892330566502,12.1
12.12,8.802821628674228e-34,0.2506265089626092,0.025758,0.0224993,0.029048,7.385736110874849,12.12
12.14,8.81961631215195e-34,0.250615691554555,0.0253513,0.0221132,0.028629,7.282674963393337,12.14
12.16,8.836408604439655e-34,0.2506136555668795,0.0249523,0.0217287,0.0282161,7.18164354532467,12.16
12.18,8.853198513463214e-34,0.2506202360831907,0.0245546,0.0213454,0.0278072,7.080793709531092,12.18
12.2,8.86998604712546e-34,0.250613011960098,0.024158,0.0209624,0.0273994,6.9794350582302505,12.2
